id,num_rep,num_rep_per,len_conversation,total_compound_conv,tot_pos_sen,tot_neg_sen,sum_tfidf,avg_tfidf,avg_w2v_score,sum_w2v_score,Is_satisfied
voip-dda7c88c6e-20130323_053612,2,0.14285714285714285,28,-0.013442857142857144,0.14285714285714285,0.14285714285714285,5.799495178976008,0.08787113907539404,-0.0042553926,-0.11915099,0
voip-31de0daa7b-20130401_204621,11,0.55,40,0.0,0.0,0.0,3.6236573247491832,0.06837089291979591,-0.004889042638953672,-0.17600553500233218,0
voip-9819537952-20130327_023510,5,0.625,16,0.02062857142857144,0.14285714285714285,0.14285714285714285,2.8216530120081917,0.10077332185743544,-0.004904903777060099,-0.07357355665590147,0
voip-e61fa89add-20130326_004919,0,0.0,6,0.07543333333333334,0.3333333333333333,0.0,3.3114702037491206,0.12264704458330075,-0.0061610057,-0.036966032999999995,0
voip-7e07d8f0f5-20130328_190516,8,0.5714285714285714,28,0.055766666666666666,0.25,0.0,4.426133380360433,0.08511794962231603,-0.0052129289587565615,-0.13553615292767066,0
voip-0f41c16f2f-20130325_192310,4,0.6666666666666666,12,0.10275,0.3333333333333333,0.16666666666666666,2.8390581836255686,0.08350171128310498,-0.006210814346559346,-0.0683189578121528,0
voip-7f9c1c8411-20130401_164058,11,0.8461538461538461,26,0.021881818181818183,0.18181818181818185,0.09090909090909093,2.8789068646866456,0.07576070696543805,-0.008167542,-0.21235609,0
voip-59bc8a2167-20130325_141345,6,0.75,16,0.07945,0.25,0.0,3.3997041463352056,0.09999129842162367,-0.00747898803674616,-0.1121848205511924,0
voip-b08f15a787-20130402_071910,12,0.8571428571428571,28,0.03653636363636364,0.09090909090909093,0.0,3.544603069539556,0.0864537334034038,-0.005301956333116525,-0.14315282099414614,0
voip-d0341706f2-20130329_052811,3,0.75,8,0.0,0.0,0.0,2.4823112632960287,0.12411556316480145,-0.008469576999999999,-0.06775661599999999,0
voip-e8997b10da-20130329_000819,4,0.4444444444444444,18,0.04095555555555555,0.4444444444444444,0.1111111111111111,4.678410567566753,0.08506201031939553,-0.005835366,-0.10503659,0
voip-edb8609855-20130327_182651,8,0.5333333333333333,30,0.012615384615384612,0.15384615384615385,0.15384615384615385,4.536857436682277,0.07561429061137129,-0.006532758927076227,-0.17638449103105813,0
voip-edb8609855-20130327_182309,0,0.0,16,0.00965,0.125,0.0,4.0743320607921785,0.06905647560664711,-0.007809165692500148,-0.11713748538750225,0
voip-7e07d8f0f5-20130328_190850,10,0.8333333333333334,24,-0.0022799999999999986,0.1,0.1,1.7912756340965656,0.0663435420035765,-0.005906323806437499,-0.10040750470943748,0
voip-50af5438f1-20130327_042937,6,0.375,32,-0.011308333333333335,0.25,0.25,5.560951282357347,0.09425341156537877,-0.004300693556433544,-0.1075173389108386,0
